Freq	DF_LOWSHELF(FREQ,350,3.5,0,48000)
+DF_HIGHSHELF(FREQ,3500,-2.5,0,48000)
229.614258	3.107283
229.980469	3.105066
230.346680	3.102842
230.712891	3.100611
231.079102	3.098373
231.445312	3.096127
231.811523	3.093874
232.177734	3.091614
232.543945	3.089347
232.910156	3.087072
233.276367	3.084790
233.642578	3.082501
234.008789	3.080204
234.375000	3.077901
234.741211	3.075590
235.107422	3.073272
235.473633	3.070946
235.839844	3.068614
236.206055	3.066274
236.572266	3.063927
236.938477	3.061573
237.304688	3.059212
237.670898	3.056844
238.037109	3.054468
238.403320	3.052086
238.769531	3.049696
239.135742	3.047299
239.501953	3.044895
239.868164	3.042484
240.234375	3.040066
240.600586	3.037641
240.966797	3.035209
241.333008	3.032770
241.699219	3.030323
242.065430	3.027870
242.431641	3.025410
242.797852	3.022943
243.164062	3.020468
243.530273	3.017987
243.896484	3.015499
244.262695	3.013004
244.628906	3.010502
244.995117	3.007993
245.361328	3.005477
245.727539	3.002954
246.093750	3.000424
246.459961	2.997888
246.826172	2.995344
247.192383	2.992794
247.558594	2.990237
247.924805	2.987673
248.291016	2.985102
248.657227	2.982525
249.023438	2.979941
249.389648	2.977350
249.755859	2.974752
250.122070	2.972147
250.488281	2.969536
250.854492	2.966918
251.220703	2.964294
251.586914	2.961663
251.953125	2.959025
252.319336	2.956380
252.685547	2.953729
253.051758	2.951072
253.417969	2.948407
253.784180	2.945737
254.150391	2.943059
254.516602	2.940375
254.882812	2.937685
255.249023	2.934988
255.615234	2.932285
255.981445	2.929575
256.347656	2.926859
256.713867	2.924136
257.080078	2.921407
257.446289	2.918672
257.812500	2.915930
258.178711	2.913182
258.544922	2.910427
258.911133	2.907666
259.277344	2.904899
259.643555	2.902126
260.009766	2.899347
260.375977	2.896561
260.742188	2.893769
261.108398	2.890971
261.474609	2.888166
261.840820	2.885356
262.207031	2.882539
262.573242	2.879716
262.939453	2.876888
263.305664	2.874053
263.671875	2.871212
264.038086	2.868365
264.404297	2.865512
264.770508	2.862653
265.136719	2.859788
265.502930	2.856917
265.869141	2.854041
266.235352	2.851158
266.601562	2.848270
266.967773	2.845375
267.333984	2.842475
267.700195	2.839569
268.066406	2.836658
268.432617	2.833740
268.798828	2.830817
269.165039	2.827888
269.531250	2.824954
269.897461	2.822014
270.263672	2.819068
270.629883	2.816116
270.996094	2.813159
271.362305	2.810197
271.728516	2.807228
272.094727	2.804255
272.460938	2.801276
272.827148	2.798291
273.193359	2.795301
273.559570	2.792305
273.925781	2.789305
274.291992	2.786298
274.658203	2.783287
275.024414	2.780270
275.390625	2.777248
275.756836	2.774220
276.123047	2.771188
276.489258	2.768150
276.855469	2.765107
277.221680	2.762058
277.587891	2.759005
277.954102	2.755947
278.320312	2.752883
278.686523	2.749814
279.052734	2.746741
279.418945	2.743662
279.785156	2.740579
280.151367	2.737490
280.517578	2.734397
280.883789	2.731298
281.250000	2.728195
281.616211	2.725087
281.982422	2.721974
282.348633	2.718856
282.714844	2.715734
283.081055	2.712607
283.447266	2.709475
283.813477	2.706338
284.179688	2.703197
284.545898	2.700051
284.912109	2.696901
285.278320	2.693746
285.644531	2.690587
286.010742	2.687423
286.376953	2.684254
286.743164	2.681081
287.109375	2.677904
287.475586	2.674722
287.841797	2.671536
288.208008	2.668346
288.574219	2.665151
288.940430	2.661952
289.306641	2.658749
289.672852	2.655542
290.039062	2.652330
290.405273	2.649114
290.771484	2.645894
291.137695	2.642670
291.503906	2.639442
291.870117	2.636210
292.236328	2.632974
292.602539	2.629734
292.968750	2.626490
293.334961	2.623242
293.701172	2.619990
294.067383	2.616735
294.433594	2.613475
294.799805	2.610212
295.166016	2.606945
295.532227	2.603674
295.898438	2.600399
296.264648	2.597121
296.630859	2.593839
296.997070	2.590554
297.363281	2.587265
297.729492	2.583972
298.095703	2.580676
298.461914	2.577377
298.828125	2.574074
299.194336	2.570767
299.560547	2.567457
299.926758	2.564144
300.000000	2.563481
300.292969	2.560828
300.659180	2.557508
301.025391	2.554185
301.391602	2.550858
301.757812	2.547529
302.124023	2.544196
302.490234	2.540860
302.856445	2.537521
303.222656	2.534179
303.588867	2.530834
303.955078	2.527486
304.321289	2.524134
304.687500	2.520780
305.053711	2.517423
305.419922	2.514063
305.786133	2.510700
306.152344	2.507335
306.518555	2.503966
306.884766	2.500595
307.250977	2.497221
307.617188	2.493844
307.983398	2.490465
308.349609	2.487083
308.715820	2.483698
309.082031	2.480311
309.448242	2.476921
309.814453	2.473529
310.180664	2.470134
310.546875	2.466737
310.913086	2.463338
311.279297	2.459935
311.645508	2.456531
312.011719	2.453124
312.377930	2.449715
312.744141	2.446304
313.110352	2.442891
313.476562	2.439475
313.842773	2.436057
314.208984	2.432637
314.575195	2.429215
314.941406	2.425791
315.307617	2.422365
315.673828	2.418937
316.040039	2.415506
316.406250	2.412074
316.772461	2.408640
317.138672	2.405204
317.504883	2.401767
317.871094	2.398327
318.237305	2.394886
318.603516	2.391443
318.969727	2.387998
319.335938	2.384551
319.702148	2.381103
