Freq	SPL
1760.000000	-1.430427
1760.009644	-1.430435
1760.009766	-1.430435
1864.379761	-1.522839
1864.379883	-1.522840
1864.700000	-1.523125
1864.745972	-1.523166
1864.746094	-1.523166
1975.341675	-1.622611
1975.341797	-1.622611
1975.500000	-1.622755
1975.707886	-1.622943
1975.708008	-1.622943
2092.895264	-1.729816
2092.895508	-1.729816
2093.000000	-1.729912
2093.261475	-1.730152
2093.261719	-1.730152
2217.406982	-1.844458
2217.407227	-1.844458
2217.500000	-1.844544
2217.773193	-1.844796
2217.773438	-1.844796
2349.242920	-1.966034
2349.243164	-1.966034
2349.300000	-1.966086
2349.609131	-1.966371
2349.609375	-1.966371
2488.769287	-2.093500
2488.769531	-2.093500
2489.000000	-2.093709
2489.135498	-2.093832
2489.135742	-2.093832
2636.718506	-2.225678
2636.718750	-2.225679
2637.000000	-2.225926
2637.084717	-2.226000
2637.084961	-2.226001
2793.456787	-2.360767
2793.457031	-2.360767
2793.800000	-2.361056
2793.822998	-2.361076
2793.823242	-2.361076
2959.716553	-2.497252
2959.716797	-2.497252
2960.000000	-2.497478
2960.082764	-2.497544
2960.083008	-2.497545
3135.864014	-2.633559
3135.864258	-2.633559
3136.000000	-2.633661
3136.230225	-2.633833
3136.230469	-2.633834
3322.265381	-2.768624
3322.265625	-2.768625
3322.400000	-2.768719
3322.631592	-2.768881
3322.631836	-2.768881
3519.653076	-2.902247
3519.653320	-2.902247
3520.000000	-2.902474
3520.019287	-2.902487
3520.019531	-2.902487
3729.125732	-3.034972
3729.125977	-3.034972
3729.300000	-3.035079
3729.491943	-3.035197
3729.492188	-3.035197
3951.049561	-3.167226
3951.049805	-3.167227
3951.100000	-3.167256
3951.415771	-3.167439
3951.416016	-3.167439
4185.790527	-3.299597
4185.791016	-3.299598
4186.000000	-3.299712
4186.156738	-3.299799
4186.157227	-3.299799
4434.813965	-3.433086
4434.814453	-3.433086
4434.900000	-3.433131
4435.180176	-3.433278
4435.180664	-3.433278
4698.485840	-3.567595
4698.486328	-3.567595
4698.600000	-3.567652
4698.852051	-3.567777
4698.852539	-3.567777
4977.904785	-3.702752
4977.905273	-3.702752
4978.000000	-3.702797
4978.270996	-3.702924
4978.271484	-3.702925
5273.803223	-3.837287
5273.803711	-3.837287
5274.000000	-3.837373
5274.169434	-3.837448
5274.169922	-3.837448
5587.645996	-3.969662
5587.646484	-3.969662
5587.700000	-3.969684
5588.012207	-3.969810
5588.012695	-3.969810
5919.799316	-4.097552
5919.799805	-4.097552
5919.900000	-4.097589
5920.165527	-4.097686
5920.166016	-4.097686
6271.728027	-4.219138
6271.728516	-4.219138
6271.900000	-4.219194
6272.094238	-4.219257
6272.094727	-4.219257
6644.896973	-4.332943
6644.897461	-4.332943
6644.900000	-4.332944
6645.263184	-4.333047
6645.263672	-4.333047
7039.672363	-4.437835
7039.672852	-4.437835
7040.000000	-4.437916
7040.038574	-4.437926
7040.039062	-4.437926
7458.251465	-4.533987
7458.251953	-4.533987
7458.600000	-4.534061
7458.617676	-4.534065
7458.618164	-4.534065
7902.099121	-4.622073
7902.099609	-4.622073
7902.100000	-4.622073
7902.465332	-4.622141
7902.465820	-4.622141
8371.947266	-4.703258
8371.948242	-4.703258
8372.000000	-4.703267
8372.313477	-4.703317
8372.314453	-4.703318
8869.627930	-4.779278
8869.628906	-4.779278
8869.800000	-4.779303
8869.994141	-4.779331
8869.995117	-4.779331
9396.971680	-4.851880
9396.972656	-4.851881
9397.300000	-4.851924
9397.337891	-4.851929
9397.338867	-4.851929
9955.809570	-4.922489
9955.810547	-4.922490
9956.100000	-4.922525
9956.175781	-4.922534
9956.176758	-4.922534
10547.972656	-4.991869
10547.973633	-4.991869
10548.100000	-4.991884
10548.338867	-4.991911
10548.339844	-4.991911
11175.291992	-5.059869
11175.292969	-5.059869
11175.300000	-5.059870
11175.658203	-5.059907
11175.659180	-5.059907
11839.598633	-5.125361
11839.599609	-5.125361
11839.800000	-5.125380
11839.964844	-5.125395
11839.965820	-5.125396
12543.456055	-5.186528
12543.457031	-5.186528
12543.800000	-5.186556
12543.822266	-5.186558
12543.823242	-5.186558
13289.793945	-5.241290
13289.794922	-5.241290
13289.800000	-5.241290
13290.160156	-5.241314
13290.161133	-5.241314
14079.710938	-5.287770
14079.711914	-5.287770
14080.000000	-5.287785
