FREQ	GAIN
100.807000	2.662020
101.074219	2.646923
101.173000	2.641357
101.440430	2.626326
101.539000	2.620800
101.806641	2.605836
101.905000	2.600352
102.172852	2.585456
102.272000	2.579957
102.539062	2.565185
102.638000	2.559728
102.905273	2.545025
103.004000	2.539610
103.271484	2.524977
103.370000	2.519603
103.637695	2.505041
103.736000	2.499708
104.003906	2.485218
104.103000	2.479873
104.370117	2.465508
104.469000	2.460206
104.736328	2.445912
104.835000	2.440652
105.102539	2.426432
105.201000	2.421214
105.468750	2.407067
105.567000	2.401891
105.834961	2.387817
105.934000	2.382631
106.201172	2.368684
106.300000	2.363541
106.567383	2.349668
106.666000	2.344568
106.933594	2.330770
107.032000	2.325711
107.299805	2.311989
107.398000	2.306973
107.666016	2.293326
107.765000	2.288301
108.032227	2.274781
108.131000	2.269799
108.398438	2.256355
108.497000	2.251416
108.764648	2.238048
108.863000	2.233151
109.130859	2.219860
109.229000	2.215006
109.497070	2.201791
109.596000	2.196931
109.863281	2.183842
109.962000	2.179024
110.229492	2.166013
110.328000	2.161238
110.595703	2.148304
110.694000	2.143570
110.961914	2.130714
111.061000	2.125975
111.328125	2.113244
111.427000	2.108548
111.694336	2.095895
111.793000	2.091241
112.060547	2.078665
112.159000	2.074054
112.426758	2.061556
112.525000	2.056986
112.792969	2.044566
112.892000	2.039992
113.159180	2.027697
113.258000	2.023165
113.525391	2.010947
113.624000	2.006457
113.891602	1.994317
113.990000	1.989869
114.257812	1.977807
114.356000	1.973400
114.624023	1.961416
114.723000	1.957006
114.990234	1.945144
115.089000	1.940776
115.356445	1.928992
115.455000	1.924665
115.722656	1.912958
115.821000	1.908673
116.088867	1.897044
116.187000	1.892799
116.455078	1.881247
116.554000	1.877001
116.821289	1.865569
116.920000	1.861364
117.187500	1.850009
117.286000	1.845844
117.553711	1.834567
117.652000	1.830442
117.919922	1.819242
118.019000	1.815116
118.286133	1.804033
118.385000	1.799948
118.652344	1.788942
118.751000	1.784896
119.018555	1.773967
119.117000	1.769961
119.384766	1.759107
119.483000	1.755141
119.750977	1.744363
119.850000	1.740396
120.117188	1.729734
120.216000	1.725807
120.483398	1.715220
120.582000	1.711332
120.849609	1.700821
120.948000	1.696971
121.215820	1.686535
121.314000	1.682724
121.582031	1.672362
121.681000	1.668551
121.948242	1.658302
122.047000	1.654530
122.314453	1.644355
122.413000	1.640621
122.680664	1.630520
122.779000	1.626823
123.046875	1.616796
123.145000	1.613137
123.413086	1.603183
123.512000	1.599525
123.779297	1.589680
123.878000	1.586059
124.145508	1.576287
124.244000	1.572704
124.511719	1.563004
124.610000	1.559457
124.877930	1.549829
124.976000	1.546320
125.244141	1.536763
125.343000	1.533254
125.610352	1.523804
125.709000	1.520332
125.976562	1.510953
126.075000	1.507516
126.342773	1.498208
126.441000	1.494807
126.708984	1.485569
126.808000	1.482170
127.075195	1.473035
127.174000	1.469671
127.441406	1.460606
127.540000	1.457278
127.807617	1.448282
127.906000	1.444988
128.173828	1.436060
128.272000	1.432802
128.540039	1.423942
128.639000	1.420685
128.906250	1.411926
129.005000	1.408704
129.272461	1.400012
129.371000	1.396824
129.638672	1.388199
129.737000	1.385045
130.004883	1.376487
130.103000	1.373366
130.371094	1.364874
130.470000	1.361755
130.737305	1.353361
130.836000	1.350275
131.103516	1.341946
131.202000	1.338893
131.469727	1.330629
131.568000	1.327609
131.835938	1.319409
131.934000	1.316421
132.202148	1.308286
132.301000	1.305300
132.568359	1.297259
132.667000	1.294305
132.934570	1.286327
133.033000	1.283405
133.300781	1.275490
133.399000	1.272600
133.666992	1.264747
133.765000	1.261888
134.033203	1.254098
134.132000	1.251241
134.399414	1.243541
134.498000	1.240715
134.765625	1.233076
134.864000	1.230280
135.131836	1.222703
135.230000	1.219937
135.498047	1.212420
135.597000	1.209657
135.864258	1.202227
135.963000	1.199494
136.230469	1.192124
136.329000	1.189421
136.596680	1.182109
136.695000	1.179436
136.962891	1.172183
137.061000	1.169539
137.329102	1.162344
137.428000	1.159702
137.695312	1.152592
137.794000	1.149979
138.061523	1.142926
138.160000	1.140341
138.427734	1.133345
138.526000	1.130789
138.793945	1.123849
138.892000	1.121321
139.160156	1.114438
139.259000	1.111912
139.526367	1.105110
139.625000	1.102611
139.892578	1.095864
139.991000	1.093394
140.258789	1.086701
140.357000	1.084258
140.625000	1.077620
140.723000	1.075203
140.991211	1.068619
141.090000	1.066204
141.357422	1.059698
141.456000	1.057311
141.723633	1.050857
141.822000	1.048496
142.089844	1.042095
142.188000	1.039760
142.456055	1.033412
142.555000	1.031079
142.822266	1.024806
142.921000	1.022498
143.188477	1.016276
143.287000	1.013995
143.554688	1.007824
143.653000	1.005568
143.920898	0.999447
144.019000	0.997216
144.287109	0.991145
144.386000	0.988916
144.653320	0.982918
144.752000	0.980714
145.019531	0.974764
145.118000	0.972585
145.385742	0.966684
145.484000	0.964529
145.751953	0.958677
145.850000	0.956545
146.118164	0.950741
146.217000	0.948612
146.484375	0.942877
146.583000	0.940771
146.850586	0.935084
146.949000	0.933001
147.216797	0.927360
147.315000	0.925301
147.583008	0.919707
147.681000	0.917670
147.949219	0.912122
148.048000	0.910088
148.315430	0.904606
148.414000	0.902594
148.681641	0.897157
148.780000	0.895168
149.047852	0.889776
149.146000	0.887809
149.414062	0.882461
149.512000	0.880516
149.780273	0.875212
149.879000	0.873269
150.000000	0.870894
150.146484	0.868029
150.245000	0.866107
150.512695	0.860910
150.611000	0.859010
150.878906	0.853856
150.977000	0.851977
151.245117	0.846865
151.344000	0.844989
151.611328	0.839938
151.710000	0.838082
151.977539	0.833073
152.076000	0.831238
152.343750	0.826270
152.442000	0.824455
152.709961	0.819529
152.808000	0.817734
153.076172	0.812848
153.175000	0.811055
153.442383	0.806228
153.541000	0.804455
153.808594	0.799667
153.907000	0.797915
154.174805	0.793166
154.273000	0.791433
154.541016	0.786724
154.639000	0.785010
154.907227	0.780339
155.006000	0.778627
155.273438	0.774013
155.372000	0.772320
155.639648	0.767743
155.738000	0.766069
156.005859	0.761530
156.104000	0.759875
156.372070	0.755373
156.470000	0.753736
156.738281	0.749272
156.837000	0.747637
157.104492	0.743226
157.203000	0.741609
157.470703	0.737234
157.569000	0.735635
157.836914	0.731297
157.935000	0.729715
158.203125	0.725412
158.301000	0.723849
158.569336	0.719581
158.668000	0.718019
158.935547	0.713803
159.034000	0.712258
159.301758	0.708076
159.400000	0.706549
159.667969	0.702401
159.766000	0.700891
160.034180	0.696778
160.133000	0.695269
160.400391	0.691204
160.499000	0.689712
160.766602	0.685681
160.865000	0.684206
161.132812	0.680208
161.231000	0.678749
161.499023	0.674784
161.597000	0.673341
161.865234	0.669408
161.964000	0.667967
162.231445	0.664081
162.330000	0.662656
162.597656	0.658802
162.696000	0.657392
162.963867	0.653570
163.062000	0.652176
163.330078	0.648385
163.428000	0.647006
163.696289	0.643246
163.795000	0.641869
164.062500	0.638154
164.161000	0.636792
164.428711	0.633107
164.527000	0.631760
164.794922	0.628105
164.893000	0.626773
165.161133	0.623148
165.259000	0.621831
165.527344	0.618235
165.626000	0.616919
165.893555	0.613367
165.992000	0.612065
166.259766	0.608541
166.358000	0.607254
166.625977	0.603759
166.724000	0.602486
166.992188	0.599020
167.091000	0.597748
167.358398	0.594322
167.457000	0.593065
167.724609	0.589667
167.823000	0.588423
168.090820	0.585053
168.189000	0.583823
168.457031	0.580480
168.555000	0.579264
168.823242	0.575948
168.922000	0.574733
169.189453	0.571456
169.288000	0.570254
169.555664	0.567004
169.654000	0.565815
169.921875	0.562591
170.020000	0.561416
170.288086	0.558218
170.386000	0.557055
170.654297	0.553883
170.753000	0.552721
171.020508	0.549587
171.119000	0.548438
171.386719	0.545329
171.485000	0.544192
171.752930	0.541108
171.851000	0.539984
172.119141	0.536925
172.217000	0.535813
172.485352	0.532778
172.584000	0.531668
172.851562	0.528668
172.950000	0.527570
173.217773	0.524595
173.316000	0.523508
173.583984	0.520557
173.682000	0.519482
173.950195	0.516555
174.048000	0.515492
174.316406	0.512588
174.415000	0.511526
174.682617	0.508656
174.781000	0.507605
175.048828	0.504758
175.147000	0.503719
175.415039	0.500895
175.513000	0.499867
175.781250	0.497065
175.880000	0.496038
176.147461	0.493269
176.246000	0.492253
176.513672	0.489506
176.612000	0.488502
176.879883	0.485776
176.978000	0.484783
177.246094	0.482079
177.344000	0.481096
177.612305	0.478414
177.711000	0.477432
177.978516	0.474781
178.077000	0.473809
178.344727	0.471179
178.443000	0.470218
178.710938	0.467609
178.809000	0.466658
179.077148	0.464070
179.175000	0.463129
179.443359	0.460561
179.542000	0.459622
179.809570	0.457083
179.908000	0.456154
180.175781	0.453636
180.274000	0.452716
180.541992	0.450218
180.640000	0.449308
180.908203	0.446829
181.006000	0.445929
181.274414	0.443470
181.373000	0.442571
181.640625	0.440140
181.739000	0.439250
182.006836	0.436839
182.105000	0.435958
182.373047	0.433566
182.471000	0.432695
182.739258	0.430321
182.838000	0.429451
183.105469	0.427104
183.204000	0.426243
183.471680	0.423915
183.570000	0.423063
183.837891	0.420753
183.936000	0.419910
184.204102	0.417618
184.302000	0.416785
184.570312	0.414510
184.669000	0.413677
184.936523	0.411429
185.035000	0.410605
185.302734	0.408374
185.401000	0.407559
185.668945	0.405345
185.767000	0.404538
186.035156	0.402342
186.133000	0.401544
186.401367	0.399364
186.500000	0.398567
186.767578	0.396412
186.866000	0.395623
187.133789	0.393485
187.232000	0.392704
187.500000	0.390583
187.598000	0.389810
187.866211	0.387705
187.964000	0.386941
188.232422	0.384852
188.331000	0.384088
188.598633	0.382023
188.697000	0.381267
188.964844	0.379218
189.063000	0.378470
189.331055	0.376436
189.429000	0.375696
189.697266	0.373678
189.795000	0.372946
190.063477	0.370943
190.162000	0.370212
190.429688	0.368232
190.528000	0.367508
190.795898	0.365543
190.894000	0.364826
191.162109	0.362876
191.260000	0.362167
191.528320	0.360232
191.627000	0.359524
191.894531	0.357610
191.993000	0.356909
192.260742	0.355010
192.359000	0.354316
192.626953	0.352432
192.725000	0.351745
192.993164	0.349875
193.091000	0.349196
193.359375	0.347340
193.458000	0.346661
193.725586	0.344826
193.824000	0.344154
194.091797	0.342332
194.190000	0.341667
194.458008	0.339860
194.556000	0.339201
194.824219	0.337407
194.922000	0.336756
195.190430	0.334976
195.289000	0.334324
195.556641	0.332564
195.655000	0.331920
195.922852	0.330172
196.021000	0.329534
196.289062	0.327800
196.387000	0.327169
196.655273	0.325448
196.753000	0.324823
197.021484	0.323114
197.120000	0.322490
197.387695	0.320801
197.486000	0.320183
197.753906	0.318506
197.852000	0.317894
198.120117	0.316230
