*--JBL Synthesis curve
*	with target as
*	(
*	SELECT "Freq" FROM "TARGET_CURVE_DATA"
*	where prefered is not null
*	union
*	SELECT "Freq" FROM "cat_preftunefreq"
*	)
*	SELECT "Freq"
*	,0
*	+df_lowshelf	(freq,48000	,   21.875, -2.6,0)
*	+df_lowshelf	(freq,48000	,   43.750, 6.3,0)
*	+df_lowshelf	(freq,48000	,   87.500, 2.5,0)
*	+df_highshelf	(freq,48000	,   87.500,-0.2,0)
*	+df_highshelf	(freq,48000	,  175.000, 0.1,0)
*	+df_highshelf	(freq,48000	,  350.000, 0.0,0)
*	+df_highshelf	(freq,48000	,  700.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 1400.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 2800.000,-0.7,0)
*	+df_highshelf	(freq,48000	, 5600.000,-0.6,0)
*	+df_highshelf	(freq,48000	,11200.000,-0.7,0)
*	as SPL
*	FROM target order by freq
*Freq	SPL
1864.379761	-1.280182
1864.379883	-1.280182
1864.700000	-1.280336
1864.745972	-1.280358
1864.746094	-1.280358
1975.341675	-1.332350
1975.341797	-1.332350
1975.500000	-1.332422
1975.707886	-1.332518
1975.708008	-1.332518
2092.895264	-1.385137
2092.895508	-1.385137
2093.000000	-1.385183
2093.261475	-1.385298
2093.261719	-1.385298
2217.406982	-1.438805
2217.407227	-1.438805
2217.500000	-1.438844
2217.773193	-1.438959
2217.773438	-1.438960
2349.242920	-1.493473
2349.243164	-1.493473
2349.300000	-1.493496
2349.609131	-1.493622
2349.609375	-1.493622
2488.769287	-1.549062
2488.769531	-1.549062
2489.000000	-1.549152
2489.135498	-1.549204
2489.135742	-1.549205
2636.718506	-1.605415
2636.718750	-1.605415
2637.000000	-1.605520
2637.084717	-1.605551
2637.084961	-1.605551
2793.456787	-1.662054
2793.457031	-1.662054
2793.800000	-1.662175
2793.822998	-1.662183
2793.823242	-1.662183
2959.716553	-1.718538
2959.716797	-1.718538
2960.000000	-1.718631
2960.082764	-1.718659
2960.083008	-1.718659
3135.864014	-1.774314
3135.864258	-1.774314
3136.000000	-1.774355
3136.230225	-1.774426
3136.230469	-1.774426
3322.265381	-1.828971
3322.265625	-1.828971
3322.400000	-1.829009
3322.631592	-1.829074
3322.631836	-1.829074
3519.653076	-1.882413
3519.653320	-1.882413
3520.000000	-1.882503
3520.019287	-1.882508
3520.019531	-1.882508
3729.125732	-1.934841
3729.125977	-1.934841
3729.300000	-1.934883
3729.491943	-1.934930
3729.492188	-1.934930
3951.049561	-1.986452
3951.049805	-1.986452
3951.100000	-1.986463
3951.415771	-1.986534
3951.416016	-1.986534
4185.790527	-2.037573
4185.791016	-2.037573
4186.000000	-2.037617
4186.156738	-2.037650
4186.157227	-2.037650
4434.813965	-2.088776
4434.814453	-2.088776
4434.900000	-2.088793
4435.180176	-2.088849
4435.180664	-2.088849
4698.485840	-2.140285
4698.486328	-2.140285
4698.600000	-2.140307
4698.852051	-2.140355
4698.852539	-2.140355
4977.904785	-2.192285
4977.905273	-2.192285
4978.000000	-2.192303
4978.270996	-2.192352
4978.271484	-2.192352
