*--Harman curve with 3500 HZ roll ready
*	with target as
*	(
*	SELECT "Freq" FROM "TARGET_CURVE_DATA"
*	where prefered is not null
*	union
*	SELECT "Freq" FROM "cat_preftunefreq"
*	)
*	SELECT "Freq"
*	,0
*	+df_lowshelf	(freq,48000	,   21.875, 0.4,0)
*	+df_lowshelf	(freq,48000	,   43.750,-0.8,0)
*	+df_lowshelf	(freq,48000	,   87.500, 6.8,0)
*	+df_highshelf	(freq,48000	,   87.500,-0.8,0)
*	+df_highshelf	(freq,48000	,  175.000, 0.2,0)
*	+df_highshelf	(freq,48000	,  350.000, 0.3,0)
*	+df_highshelf	(freq,48000	,  700.000,-0.4,0)
*	+df_highshelf	(freq,48000	, 1400.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 2800.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 5600.000,-0.6,0)
*	+df_highshelf	(freq,48000	,11200.000,-0.7,0)
*	as SPL
*	FROM target order by freq
*Freq	SPL
3729.125977	-1.855958
3729.300000	-1.855997
3729.491943	-1.856040
3729.492188	-1.856040
3951.049561	-1.903812
3951.049805	-1.903812
3951.100000	-1.903822
3951.415771	-1.903888
3951.416016	-1.903888
4185.790527	-1.951717
4185.791016	-1.951717
4186.000000	-1.951759
4186.156738	-1.951790
4186.157227	-1.951790
4434.813965	-2.000202
4434.814453	-2.000202
4434.900000	-2.000218
4435.180176	-2.000272
4435.180664	-2.000272
4698.485840	-2.049449
4698.486328	-2.049449
4698.600000	-2.049470
4698.852051	-2.049516
4698.852539	-2.049516
4977.904785	-2.099585
4977.905273	-2.099585
4978.000000	-2.099602
4978.270996	-2.099650
4978.271484	-2.099650
5273.803223	-2.150433
5273.803711	-2.150433
5274.000000	-2.150466
5274.169434	-2.150495
5274.169922	-2.150495
5587.645996	-2.201723
5587.646484	-2.201723
5587.700000	-2.201732
5588.012207	-2.201782
5588.012695	-2.201782
5919.799316	-2.252875
5919.799805	-2.252875
5919.900000	-2.252890
5920.165527	-2.252930
5920.166016	-2.252930
6271.728027	-2.303490
6271.728516	-2.303490
6271.900000	-2.303514
6272.094238	-2.303540
6272.094727	-2.303541
6644.896973	-2.353301
6644.897461	-2.353301
6644.900000	-2.353302
6645.263184	-2.353348
6645.263672	-2.353348
7039.672363	-2.402177
7039.672852	-2.402177
7040.000000	-2.402216
7040.038574	-2.402220
7040.039062	-2.402221
7458.251465	-2.450564
7458.251953	-2.450564
7458.600000	-2.450603
7458.617676	-2.450605
7458.618164	-2.450605
7902.099121	-2.499155
7902.099609	-2.499155
7902.100000	-2.499155
7902.465332	-2.499195
7902.465820	-2.499195
8371.947266	-2.548841
8371.948242	-2.548841
8372.000000	-2.548847
8372.313477	-2.548880
8372.314453	-2.548880
8869.627930	-2.600748
8869.628906	-2.600748
8869.800000	-2.600766
8869.994141	-2.600786
8869.995117	-2.600786
9396.971680	-2.655878
9396.972656	-2.655878
9397.300000	-2.655912
9397.337891	-2.655916
9397.338867	-2.655916
9955.809570	-2.714818
9955.810547	-2.714818
9956.100000	-2.714848
9956.175781	-2.714856
9956.176758	-2.714856
10547.972656	-2.777418
10547.973633	-2.777418
10548.100000	-2.777431
10548.338867	-2.777457
10548.339844	-2.777457
11175.291992	-2.842549
11175.292969	-2.842549
11175.300000	-2.842550
11175.658203	-2.842586
11175.659180	-2.842586
11839.598633	-2.908061
11839.599609	-2.908061
11839.800000	-2.908080
11839.964844	-2.908095
11839.965820	-2.908095
12543.456055	-2.971131
12543.457031	-2.971131
12543.800000	-2.971160
12543.822266	-2.971162
12543.823242	-2.971162
13289.793945	-3.028774
13289.794922	-3.028774
13289.800000	-3.028774
13290.160156	-3.028800
13290.161133	-3.028800
14079.710938	-3.078378
14079.711914	-3.078378
14080.000000	-3.078394
14080.077148	-3.078398
14080.078125	-3.078398
14916.869141	-3.118553
14916.870117	-3.118553
14917.200000	-3.118567
14917.235352	-3.118568
14917.236328	-3.118568
15804.198242	-3.149044
15804.199219	-3.149044
15804.200000	-3.149044
15804.564453	-3.149054
15804.565430	-3.149055
16743.894531	-3.170616
16744.000000	-3.170618
16744.261719	-3.170623
17739.257812	-3.184738
17739.600000	-3.184742
17739.621094	-3.184742
17739.625000	-3.184742
18794.308594	-3.193147
18794.312500	-3.193147
18794.600000	-3.193148
18794.675781	-3.193149
19911.984375	-3.197536
19911.988281	-3.197536
19912.127000	-3.197536
19912.351562	-3.197537
21096.163600	-3.199401
