FREQ	GAIN
100.341797	2.690130
100.440000	2.684543
100.708008	2.669332
100.807000	2.663728
101.074219	2.648640
101.173000	2.643077
101.440430	2.628055
101.539000	2.622533
101.806641	2.607578
101.905000	2.602097
102.172852	2.587210
102.272000	2.581715
102.539062	2.566952
102.638000	2.561498
102.905273	2.546805
103.004000	2.541393
103.271484	2.526770
103.370000	2.521399
103.637695	2.506846
103.736000	2.501517
104.003906	2.487036
104.103000	2.481695
104.370117	2.467339
104.469000	2.462040
104.736328	2.447756
104.835000	2.442500
105.102539	2.428289
105.201000	2.423074
105.468750	2.408937
105.567000	2.403764
105.834961	2.389700
105.934000	2.384518
106.201172	2.370581
106.300000	2.365441
106.567383	2.351578
106.666000	2.346481
106.933594	2.332692
107.032000	2.327638
107.299805	2.313924
107.398000	2.308912
107.666016	2.295275
107.765000	2.290254
108.032227	2.276743
108.131000	2.271766
108.398438	2.258331
108.497000	2.253396
108.764648	2.240037
108.863000	2.235144
109.130859	2.221863
109.229000	2.217012
109.497070	2.203808
109.596000	2.198951
109.863281	2.185872
109.962000	2.181058
110.229492	2.168057
110.328000	2.163285
110.595703	2.150361
110.694000	2.145631
110.961914	2.132785
111.061000	2.128050
111.328125	2.115329
111.427000	2.110637
111.694336	2.097993
111.793000	2.093343
112.060547	2.080778
112.159000	2.076170
112.426758	2.063682
112.525000	2.059116
112.792969	2.046706
112.892000	2.042137
113.159180	2.029851
113.258000	2.025323
113.525391	2.013115
113.624000	2.008629
113.891602	1.996499
113.990000	1.992055
114.257812	1.980003
114.356000	1.975601
114.624023	1.963627
114.723000	1.959221
114.990234	1.947369
115.089000	1.943005
115.356445	1.931231
115.455000	1.926908
115.722656	1.915212
115.821000	1.910930
116.088867	1.899312
116.187000	1.895071
116.455078	1.883530
116.554000	1.879287
116.821289	1.867866
116.920000	1.863664
117.187500	1.852321
117.286000	1.848159
117.553711	1.836893
117.652000	1.832772
117.919922	1.821582
118.019000	1.817460
118.286133	1.806388
118.385000	1.802307
118.652344	1.791312
118.751000	1.787270
119.018555	1.776351
119.117000	1.772349
119.384766	1.761506
119.483000	1.757544
119.750977	1.746777
119.850000	1.742814
120.117188	1.732164
120.216000	1.728240
120.483398	1.717664
120.582000	1.713780
120.849609	1.703280
120.948000	1.699434
121.215820	1.689009
121.314000	1.685202
121.582031	1.674851
121.681000	1.671044
121.948242	1.660806
122.047000	1.657038
122.314453	1.646874
122.413000	1.643144
122.680664	1.633054
122.779000	1.629362
123.046875	1.619345
123.145000	1.615691
123.413086	1.605748
123.512000	1.602094
123.779297	1.592260
123.878000	1.588644
124.145508	1.578883
124.244000	1.575304
124.511719	1.565615
124.610000	1.562073
124.877930	1.552456
124.976000	1.548950
125.244141	1.539405
125.343000	1.535901
125.610352	1.526462
125.709000	1.522994
125.976562	1.513626
126.075000	1.510194
126.342773	1.500897
126.441000	1.497501
126.708984	1.488274
126.808000	1.484879
127.075195	1.475756
127.174000	1.472396
127.441406	1.463343
127.540000	1.460019
127.807617	1.451034
127.906000	1.447745
128.173828	1.438829
128.272000	1.435574
128.540039	1.426726
128.639000	1.423474
128.906250	1.414727
129.005000	1.411508
129.272461	1.402829
129.371000	1.399644
129.638672	1.391032
129.737000	1.387881
130.004883	1.379335
130.103000	1.376219
130.371094	1.367739
130.470000	1.364624
130.737305	1.356242
130.836000	1.353160
131.103516	1.344843
131.202000	1.341794
131.469727	1.333542
131.568000	1.330526
131.835938	1.322339
131.934000	1.319356
132.202148	1.311232
132.301000	1.308251
132.568359	1.300222
132.667000	1.297272
132.934570	1.289307
133.033000	1.286389
133.300781	1.278486
133.399000	1.275600
133.666992	1.267760
133.765000	1.264905
134.033203	1.257127
134.132000	1.254274
134.399414	1.246587
134.498000	1.243765
134.765625	1.236139
134.864000	1.233347
135.131836	1.225782
135.230000	1.223021
135.498047	1.215516
135.597000	1.212758
135.864258	1.205340
135.963000	1.202612
136.230469	1.195254
136.329000	1.192555
136.596680	1.185256
136.695000	1.182587
136.962891	1.175347
137.061000	1.172707
137.329102	1.165525
137.428000	1.162888
137.695312	1.155790
137.794000	1.153181
138.061523	1.146141
138.160000	1.143561
138.427734	1.136578
138.526000	1.134026
138.793945	1.127099
138.892000	1.124576
139.160156	1.117705
139.259000	1.115184
139.526367	1.108394
139.625000	1.105901
139.892578	1.099166
139.991000	1.096700
140.258789	1.090021
140.357000	1.087582
140.625000	1.080956
140.723000	1.078545
140.991211	1.071973
141.090000	1.069564
141.357422	1.063070
141.456000	1.060687
141.723633	1.054247
141.822000	1.051890
142.089844	1.045503
142.188000	1.043172
142.456055	1.036837
142.555000	1.034509
142.822266	1.028248
142.921000	1.025946
143.188477	1.019737
143.287000	1.017461
143.554688	1.011302
143.653000	1.009051
143.920898	1.002944
144.019000	1.000717
144.287109	0.994660
144.386000	0.992436
144.653320	0.986450
144.752000	0.984251
145.019531	0.978315
145.118000	0.976140
145.385742	0.970253
145.484000	0.968102
145.751953	0.962264
145.850000	0.960137
146.118164	0.954346
146.217000	0.952222
146.484375	0.946500
146.583000	0.944399
146.850586	0.938725
146.949000	0.936648
147.216797	0.931020
147.315000	0.928966
147.583008	0.923385
147.681000	0.921354
147.949219	0.915819
148.048000	0.913790
148.315430	0.908321
148.414000	0.906315
148.681641	0.900891
148.780000	0.898907
149.047852	0.893528
149.146000	0.891566
149.414062	0.886232
149.512000	0.884292
149.780273	0.879002
149.879000	0.877064
150.000000	0.874695
150.146484	0.871837
150.245000	0.869921
150.512695	0.864738
150.611000	0.862843
150.878906	0.857702
150.977000	0.855828
151.245117	0.850730
151.344000	0.848859
151.611328	0.843822
151.710000	0.841971
151.977539	0.836976
152.076000	0.835146
152.343750	0.830192
152.442000	0.828382
152.709961	0.823470
152.808000	0.821680
153.076172	0.816808
153.175000	0.815021
153.442383	0.810207
153.541000	0.808440
153.808594	0.803666
153.907000	0.801918
154.174805	0.797184
154.273000	0.795456
154.541016	0.790761
154.639000	0.789052
154.907227	0.784396
155.006000	0.782689
155.273438	0.778089
155.372000	0.776401
155.639648	0.771839
155.738000	0.770170
156.005859	0.765645
156.104000	0.763995
156.372070	0.759508
156.470000	0.757876
156.738281	0.753426
156.837000	0.751796
157.104492	0.747400
157.203000	0.745788
157.470703	0.741428
157.569000	0.739834
157.836914	0.735510
157.935000	0.733934
158.203125	0.729645
158.301000	0.728087
158.569336	0.723834
158.668000	0.722277
158.935547	0.718075
159.034000	0.716536
159.301758	0.712369
159.400000	0.710847
159.667969	0.706714
159.766000	0.705209
160.034180	0.701110
160.133000	0.699607
160.400391	0.695557
160.499000	0.694070
